system,display_name,recommended_primary_source,stable_field_count,openai_field_count,openai_trigger_count,libretro_raw_entry_count,libretro_distinct_address_count,action_replay_cheat_count
gb,"F1 Pole Position (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,Faceball 2000 (USA) (GameShark),,0,0,0,0,0,0
gb,Famista (Japan),libretro_database,0,0,0,1,1,0
gb,Famista 2 (Japan),libretro_database,0,0,0,1,1,0
gb,Famista _ Famista 2 (Japan) (GameShark),libretro_database,0,0,0,1,1,0
gb,"Fastest Lap (USA, Japan) (GameShark)",,0,0,0,0,0,0
gb,"Felix the Cat (USA, Europe) (GameShark)",libretro_database,0,0,0,1,1,0
gb,"Ferrari Grand Prix Challenge (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Fidgetts, The (USA, Europe) (En,Fr,De,Es,It,Nl,Sv)",,0,0,0,0,0,0
gb,FIFA - Road to World Cup 98 (Europe) (SGB Enhanced),,0,0,0,0,0,0
gb,"FIFA International Soccer (USA, Europe) (En,Fr,De,Es) (SGB Enhanced)",,0,0,0,0,0,0
gb,"FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es) (SGB Enhanced)",,0,0,0,0,0,0
gb,"FIFA Soccer 97 (USA, Europe) (SGB Enhanced)",,0,0,0,0,0,0
gb,"Fighting Simulator 2 in 1 (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Fighting Simulator 2 in 1 - Flying Warriors (USA, Europe)",,0,0,0,0,0,0
gb,Final Fantasy Adventure (USA) (Game Genie),libretro_database,0,0,0,35,31,0
gb,Final Fantasy Legend II (USA) (Game Genie),libretro_database,0,0,0,1,1,0
gb,Final Fantasy Legend III (USA) (Game Genie),libretro_database,0,0,0,65,50,0
gb,"Final Fantasy Legend, The (USA) (Game Genie)",libretro_database,0,0,0,4,4,0
gb,Fire Fighter (Europe) (GameShark),,0,0,0,0,0,0
gb,Fish Dude (USA) (Game Genie),,0,0,0,0,0,0
gb,Fist of the North Star (USA) (Game Genie),,0,0,0,0,0,0
gb,Flappy Special (Japan) (GameShark),,0,0,0,0,0,0
gb,"Flash, The (USA, Europe) (Game Genie)",,0,0,0,0,0,0
gb,"Flintstones, The (USA, Europe) (GameShark)",libretro_database,0,0,0,1,1,0
gb,"Flintstones, The - King Rock Treasure Island (USA, Europe)",libretro_database,0,0,0,3,3,0
gb,Flipull (USA),libretro_database,0,0,0,3,3,0
gb,Football International (Europe),,0,0,0,0,0,0
gb,"Foreman for Real (USA, Europe)",,0,0,0,0,0,0
gb,"Fortified Zone (USA, Europe) (GameShark)",,0,0,0,0,0,0
gb,"Franky, Joe _ Dirk - On the Tiles (Europe) (En,Fr,De,Es,It,Nl)",,0,0,0,0,0,0
gb,Frisky Tom (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Frogger (USA) (Xploder),,0,0,0,0,0,0
gb,From TV Animation Slam Dunk - Gakeppuchi no Kesshou League (Japan) (SGB Enhanced),,0,0,0,0,0,0
gb,Funny Field (Japan) (GameShark),,0,0,0,0,0,0
