system	game_key	asset_path	aliases	trigger_count
genesis	MarbleMadness-Genesis	profiles/genesis/marblemadness_genesis.qrr	marblemadness|marblemadnessgenesis	1
genesis	Marko-Genesis	profiles/genesis/marko_genesis.qrr	marko|markogenesis	11
genesis	Marsupilami-Genesis	profiles/genesis/marsupilami_genesis.qrr	marsupilami|marsupilamigenesis	3
genesis	MarvelLand-Genesis	profiles/genesis/marvelland_genesis.qrr	marvelland|marvellandgenesis	3
genesis	MazinSaga-Genesis	profiles/genesis/mazinsaga_genesis.qrr	mazinsaga|mazinsagagenesis	2
genesis	McDonaldsTreasureLandAdventure-Genesis	profiles/genesis/mcdonaldstreasurelandadventure_genesis.qrr	mcdonaldstreasurelandadventure|mcdonaldstreasurelandadventuregenesis	5
genesis	MegaManTheWilyWars-Genesis	profiles/genesis/megamanthewilywars_genesis.qrr	megamanthewilywars|megamanthewilywarsgenesis	5
genesis	MegaSWIV-Genesis	profiles/genesis/megaswiv_genesis.qrr	megaswiv|megaswivgenesis	3
genesis	MegaTurrican-Genesis	profiles/genesis/megaturrican_genesis.qrr	megaturrican|megaturricangenesis	5
genesis	MegamanWillyWars-Genesis	profiles/genesis/megamanwillywars_genesis.qrr	megamanwillywars|megamanwillywarsgenesis	1
genesis	Mercs-Genesis	profiles/genesis/mercs_genesis.qrr	mercs|mercsgenesis	2
genesis	MichaelJacksonsMoonw-Genesis	profiles/genesis/michaeljacksonsmoonw_genesis.qrr	michaeljacksonsmoonw|michaeljacksonsmoonwgenesis	2
genesis	MichaelJacksonsMoonwalker-Genesis	profiles/genesis/michaeljacksonsmoonwalker_genesis.qrr	michaeljacksonsmoonwalker|michaeljacksonsmoonwalkergenesis	5
genesis	MickeyMouseCastleOfIllusi-Genesis	profiles/genesis/mickeymousecastleofillusi_genesis.qrr	mickeymousecastleofillusi|mickeymousecastleofillusigenesis	2
